Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0,1.912671,0.6443951,-0.4780758,0.9833176,-0.04204325,-0.09729855,-37.63876,24.33414,4.155897,1019.979
0.004994869,0.9902278,0.8244272,-0.5392208,0.9828029,-0.04292863,-0.1045439,-37.63876,24.33414,4.155897,1019.979
0.014983177,0.9287316,0.5843843,-0.6003658,0.9833047,-0.04482803,-0.1079682,-37.63876,24.33414,4.155897,1019.979
0.024972439,1.543694,0.3443415,-0.5392208,0.9924482,-0.03742061,-0.1039838,-37.63876,24.33414,4.155897,1019.976
0.0349617,2.958106,-0.07573352,-0.6003658,0.9885942,-0.03710182,-0.0957609,-37.63876,24.33414,4.155897,1019.976
0.044950962,4.864488,0.1643093,-0.6615107,0.9920251,-0.03662826,-0.09095393,-36.88081,23.96778,4.533691,1019.976
0.054940224,5.294961,0.4043522,-0.2946409,0.9915323,-0.03521697,-0.08754228,-36.88081,23.96778,4.533691,1019.976
0.064929485,4.802992,0.2243201,0.01108406,0.9893492,-0.02302358,-0.08865948,-36.88081,23.96778,4.533691,1019.977
0.074917793,3.511572,-0.4958085,0.3779539,0.988748,-0.01669192,-0.08801094,-36.88081,23.96778,4.533691,1019.977
0.084907055,2.40464,-0.7958621,0.6225339,0.985808,-0.01388533,-0.08213867,-36.88081,23.96778,4.533691,1019.977
0.094896317,1.666686,-1.035905,0.5002439,0.9798878,-0.01006107,-0.08248316,-38.01051,24.33044,4.547026,1019.977
0.104885578,1.60519,-0.61583,0.5002439,0.9870469,-0.000261771,-0.07697906,-38.01051,24.33044,4.547026,1019.976
0.11487484,2.097159,-0.3157764,0.194519,0.9865175,0.001228009,-0.07934593,-38.01051,24.33044,4.547026,1019.976
0.124864101,2.158656,-0.3157764,-0.1112059,0.9840851,0.00071665,-0.08030656,-38.01051,24.33044,4.547026,1019.976
0.137350559,1.789678,-0.4357978,-0.05006092,0.9837123,-0.005629547,-0.08094909,-38.01051,24.33044,4.547026,1019.976
0.147338867,0.3752659,-0.4958085,0.194519,0.9794034,-0.01148035,-0.08637033,-37.2478,23.59155,4.53731,1019.975
0.157328129,-0.9776503,-0.61583,0.255664,0.9794606,-0.01441557,-0.08596448,-37.2478,23.59155,4.53731,1019.975
0.16731739,-1.961589,-0.4958085,0.194519,0.9808319,-0.008575656,-0.08293288,-37.2478,23.59155,4.53731,1019.975
0.177306652,-1.900093,-0.5558193,0.01108406,0.985164,-0.006993596,-0.08677448,-37.2478,23.59155,4.53731,1019.975
0.187295914,-1.777101,-0.3757871,-0.2946409,0.9909999,-0.006418293,-0.086798,-37.2478,23.59155,4.53731,1019.976
0.197284699,-1.715605,-0.195755,-0.2946409,0.9926295,-0.01613259,-0.08898551,-38.01051,24.33044,4.547026,1019.976
0.207273483,-2.26907,0.04428791,-0.1112059,0.9876651,-0.01272305,-0.09368251,-38.01051,24.33044,4.547026,1019.976
0.217262745,-2.576551,0.04428791,-0.1723509,0.9883538,-0.02299233,-0.09202426,-38.01051,24.33044,4.547026,1019.976
0.227252007,-2.76104,0.1643093,-0.05006092,0.9869226,-0.02495349,-0.09302878,-38.01051,24.33044,4.547026,1019.975
0.237240791,-2.392063,0.04428791,0.01108406,0.9895559,-0.03799811,-0.1006076,-38.01051,24.33044,4.547026,1019.975
0.247230053,-1.715605,-0.01572281,0.133374,0.9872253,-0.0462277,-0.1085116,-37.63158,23.9613,4.155277,1019.975
0.257219315,-1.223635,-0.1357442,0.194519,0.9891677,-0.04524858,-0.1065723,-37.63158,23.9613,4.155277,1019.975
0.267208576,-0.3626884,0.3443415,0.5002439,0.9878424,-0.05024963,-0.09946627,-37.63158,23.9613,4.155277,1019.973
0.277197361,0.6827468,0.2243201,0.4390989,0.9912639,-0.05069342,-0.09901842,-37.63158,23.9613,4.155277,1019.973
0.287186146,1.174716,0.04428791,0.6225339,0.9858521,-0.04784466,-0.0989096,-37.63158,23.9613,4.155277,1019.973
0.297175407,0.8057392,-0.1357442,0.316809,0.9832842,-0.04150281,-0.1011383,-37.63158,23.9613,4.155277,1019.973
0.307164669,0.9287316,-0.1357442,0.01108406,0.9812673,-0.03529106,-0.09325755,-37.63158,23.9613,4.155277,1019.969
0.317153931,1.420701,-0.2557657,-0.4169308,0.9812705,-0.03482911,-0.09131876,-37.63158,23.9613,4.155277,1019.969
0.327143192,2.035663,0.2843308,-0.5392208,0.9841626,-0.03378313,-0.09323777,-37.63158,23.9613,4.155277,1019.969
0.3371315,3.019602,0.7044058,-0.6003658,0.9821363,-0.02895723,-0.09117341,-37.25214,23.96403,4.989302,1019.969
0.347120762,3.757556,0.5243737,-0.6003658,0.9837239,-0.03530052,-0.0899018,-37.25214,23.96403,4.989302,1019.969
0.357110024,4.311022,0.5243737,-0.5392208,0.9812374,-0.0328832,-0.09078676,-37.25214,23.96403,4.989302,1019.969
0.367099285,4.311022,0.3443415,-0.2946409,0.9958195,-0.03119434,-0.09132081,-37.25214,23.96403,4.989302,1019.969
0.377088547,3.69606,0.5243737,0.07222904,0.9927886,-0.02584907,-0.0926086,-37.25214,23.96403,4.989302,1019.969
0.387077808,2.712121,0.7044058,0.255664,0.9800981,-0.02269968,-0.08666348,-38.00575,23.95791,4.159515,1019.966
